id,corp_ticker,ratio,rank,emsec_id
0,000020,81.33,1,126
1,000020,18.67,2,80
2,000040,100.0,1,82
3,000050,52.27,1,26
4,000050,47.73,2,107
5,000070,53.06,1,25
6,000070,46.94,2,75
7,000080,100.0,1,77
8,000100,100.0,1,126
9,000120,60.23,1,53
10,000120,39.77,2,55
11,000140,100.0,1,7
12,000150,53.95,1,59
13,000150,46.05,2,47
14,000180,100.0,1,37
15,000210,50.12,1,45
16,000210,49.88,2,25
17,000220,72.52,1,126
18,000220,27.48,2,129
19,000230,100.0,1,126
20,000240,100.0,1,122
21,000250,100.0,1,126
22,000270,100.0,1,82
23,000300,100.0,1,84
24,000320,100.0,1,30
25,000370,100.0,1,3
26,000390,100.0,1,30
27,000400,100.0,1,3
28,000430,100.0,1,84
29,000440,100.0,1,13
30,000480,70.13,1,40
31,000480,29.87,2,62
32,000490,100.0,1,58
33,000500,100.0,1,19
34,000520,100.0,1,126
35,000540,100.0,1,3
36,000590,100.0,1,62
37,000640,54.26,1,126
38,000640,45.74,2,53
39,000650,100.0,1,54
40,000660,100.0,1,109
41,000670,65.41,1,121
42,000670,34.59,2,34
43,000680,100.0,1,2
44,000700,74.28,1,55
45,000700,25.72,2,113
46,000720,76.31,1,45
47,000720,23.69,2,48
48,000760,75.08,1,30
49,000760,24.92,2,8
50,000810,100.0,1,3
51,000850,100.0,1,60
52,000860,62.13,1,30
53,000860,37.87,2,26
54,000880,46.18,1,30
55,000880,28.81,2,5
56,000880,25.0,3,3
57,000890,100.0,1,77
58,000910,48.81,1,50
59,000910,33.03,2,121
60,000910,18.16,3,40
61,000950,100.0,1,90
62,000970,54.67,1,35
63,000970,23.55,2,23
64,000970,21.77,3,92
65,000990,100.0,1,109
66,001000,53.27,1,8
67,001000,46.73,2,118
68,001020,100.0,1,38
69,001040,57.27,1,53
70,001040,42.73,2,75
71,001060,100.0,1,126
72,001070,100.0,1,90
73,001080,100.0,1,35
74,001120,100.0,1,72
75,001130,50.36,1,74
76,001130,49.64,2,75
77,001140,100.0,1,53
78,001200,100.0,1,2
79,001210,100.0,1,120
80,001230,100.0,1,33
81,001250,100.0,1,72
82,001260,63.7,1,46
83,001260,36.3,2,45
84,001270,100.0,1,2
85,001290,100.0,1,2
86,001340,100.0,1,25
87,001360,100.0,1,126
88,001380,100.0,1,84
89,001390,54.19,1,82
90,001390,45.81,2,33
91,001420,63.28,1,84
92,001420,36.72,2,75
93,001430,100.0,1,5
94,001440,74.2,1,64
95,001440,25.8,2,19
96,001450,100.0,1,3
97,001460,72.05,1,90
98,001460,27.95,2,8
99,001470,69.63,1,46
100,001470,30.37,2,7
101,001500,100.0,1,2
102,001510,100.0,1,2
103,001520,75.62,1,50
104,001520,24.38,2,46
105,001530,59.25,1,27
106,001530,40.75,2,34
107,001540,100.0,1,126
108,001550,100.0,1,28
109,001560,100.0,1,62
110,001570,100.0,1,30
111,001620,100.0,1,84
112,001630,55.68,1,129
113,001630,44.32,2,126
114,001680,75.46,1,75
115,001680,24.54,2,30
116,001720,100.0,1,2
117,001740,72.3,1,124
118,001740,27.7,2,72
119,001750,100.0,1,2
120,001770,100.0,1,35
121,001780,100.0,1,35
122,001790,53.21,1,75
123,001790,46.79,2,74
124,001800,53.56,1,76
125,001800,46.44,2,75
126,001810,100.0,1,38
127,001820,100.0,1,121
128,001840,100.0,1,45
129,001940,100.0,1,33
130,002020,40.45,1,30
131,002020,30.8,2,107
132,002020,28.74,3,45
133,002030,51.04,1,38
134,002030,48.96,2,50
135,002070,100.0,1,90
136,002100,100.0,1,28
137,002140,100.0,1,74
138,002150,73.34,1,49
139,002150,26.66,2,46
140,002170,100.0,1,90
141,002200,100.0,1,41
142,002210,100.0,1,126
143,002220,51.27,1,33
144,002220,48.73,2,73
145,002230,70.89,1,64
146,002230,29.11,2,21
147,002240,100.0,1,35
148,002290,100.0,1,45
149,002310,100.0,1,38
150,002320,100.0,1,53
151,002350,100.0,1,83
152,002360,100.0,1,26
153,002380,100.0,1,30
154,002390,100.0,1,126
155,002410,100.0,1,46
156,002420,100.0,1,13
157,002450,61.24,1,89
158,002450,38.76,2,19
159,002460,68.29,1,45
160,002460,31.71,2,8
161,002600,100.0,1,75
162,002620,100.0,1,126
163,002630,100.0,1,127
164,002680,100.0,1,75
165,002690,70.99,1,35
166,002690,29.01,2,34
167,002700,100.0,1,86
168,002710,50.05,1,8
169,002710,49.95,2,33
170,002720,100.0,1,126
171,002760,100.0,1,30
172,002780,84.41,1,45
173,002780,15.59,2,46
174,002790,100.0,1,92
175,002800,100.0,1,126
176,002810,54.5,1,84
177,002810,45.5,2,30
178,002820,56.44,1,87
179,002820,23.93,2,37
180,002820,19.63,3,79
181,002840,100.0,1,30
182,002870,100.0,1,38
183,002880,100.0,1,84
184,002900,100.0,1,58
185,002920,100.0,1,84
186,002960,100.0,1,25
187,002990,64.0,1,45
188,002990,36.0,2,46
189,003000,100.0,1,126
190,003010,66.22,1,59
191,003010,33.78,2,63
192,003030,100.0,1,35
193,003060,100.0,1,126
194,003070,100.0,1,45
195,003080,100.0,1,28
196,003090,100.0,1,126
197,003100,100.0,1,56
198,003120,100.0,1,126
199,003160,100.0,1,110
200,003200,100.0,1,27
201,003220,100.0,1,126
202,003230,100.0,1,75
203,003240,100.0,1,25
204,003280,100.0,1,56
205,003300,100.0,1,50
206,003310,100.0,1,74
207,003350,100.0,1,92
208,003380,46.15,1,74
209,003380,36.08,2,56
210,003380,17.77,3,75
211,003460,100.0,1,2
212,003470,100.0,1,2
213,003480,65.58,1,22
214,003480,34.42,2,19
215,003490,100.0,1,54
216,003520,100.0,1,126
217,003530,100.0,1,2
218,003540,100.0,1,2
219,003550,100.0,1,113
220,003560,57.16,1,95
221,003560,42.84,2,93
222,003570,100.0,1,84
223,003580,74.44,1,106
224,003580,25.56,2,76
225,003610,100.0,1,26
226,003620,100.0,1,82
227,003650,76.0,1,25
228,003650,24.0,2,30
229,003670,63.24,1,122
230,003670,36.76,2,30
231,003680,69.53,1,75
232,003680,30.47,2,74
233,003690,100.0,1,3
234,003720,50.4,1,62
235,003720,49.6,2,30
236,003780,100.0,1,26
237,003800,100.0,1,87
238,003830,100.0,1,27
239,003850,100.0,1,126
240,003920,100.0,1,75
241,003960,100.0,1,75
242,004000,100.0,1,30
243,004020,100.0,1,33
244,004060,100.0,1,90
245,004080,100.0,1,130
246,004090,82.69,1,25
247,004090,17.31,2,13
248,004100,100.0,1,84
249,004140,62.65,1,56
250,004140,37.35,2,53
251,004150,100.0,1,38
252,004170,53.53,1,107
253,004170,46.47,2,105
254,004250,76.13,1,39
255,004250,23.87,2,103
256,004270,100.0,1,120
257,004310,100.0,1,126
258,004360,100.0,1,56
259,004370,100.0,1,75
260,004380,100.0,1,62
261,004410,100.0,1,75
262,004430,100.0,1,30
263,004440,51.81,1,33
264,004440,48.19,2,50
265,004450,79.3,1,41
266,004450,20.7,2,39
267,004490,100.0,1,122
268,004540,53.59,1,38
269,004540,46.41,2,79
270,004560,100.0,1,33
271,004590,100.0,1,87
272,004650,61.19,1,77
273,004650,38.81,2,42
274,004690,100.0,1,22
275,004700,100.0,1,90
276,004710,63.94,1,121
277,004710,36.06,2,118
278,004720,100.0,1,126
279,004770,100.0,1,121
280,004780,100.0,1,41
281,004800,33.68,1,72
282,004800,23.02,2,26
283,004800,22.6,3,64
284,004800,20.7,4,25
285,004830,100.0,1,26
286,004840,100.0,1,39
287,004870,100.0,1,50
288,004890,67.69,1,33
289,004890,32.31,2,34
290,004910,100.0,1,30
291,004920,100.0,1,113
292,004960,79.02,1,45
293,004960,20.98,2,46
294,004970,100.0,1,74
295,004980,100.0,1,50
296,004990,46.33,1,25
297,004990,29.77,2,105
298,004990,23.9,3,30
299,005010,100.0,1,33
300,005030,100.0,1,84
301,005070,100.0,1,122
302,005090,62.21,1,20
303,005090,20.65,2,40
304,005090,17.14,3,19
305,005110,75.39,1,96
306,005110,24.61,2,8
307,005160,83.8,1,33
308,005160,16.2,2,17
309,005180,100.0,1,75
310,005250,100.0,1,126
311,005290,100.0,1,30
312,005300,100.0,1,77
313,005320,100.0,1,90
314,005360,78.8,1,42
315,005360,21.2,2,121
316,005380,100.0,1,82
317,005390,100.0,1,90
318,005420,66.08,1,122
319,005420,33.92,2,30
320,005430,100.0,1,55
321,005440,100.0,1,87
322,005490,59.18,1,33
323,005490,40.82,2,72
324,005500,100.0,1,126
325,005610,55.34,1,81
326,005610,24.8,2,76
327,005610,19.87,3,75
328,005670,78.11,1,75
329,005670,21.89,2,129
330,005680,100.0,1,121
331,005690,100.0,1,30
332,005710,100.0,1,84
333,005720,100.0,1,83
334,005740,100.0,1,76
335,005750,100.0,1,88
336,005800,100.0,1,90
337,005810,71.99,1,34
338,005810,28.01,2,44
339,005820,57.02,1,41
340,005820,42.98,2,130
341,005830,100.0,1,3
342,005850,100.0,1,84
343,005860,100.0,1,74
344,005870,100.0,1,44
345,005880,100.0,1,56
346,005930,61.16,1,86
347,005930,38.84,2,109
348,005940,100.0,1,2
349,005950,100.0,1,25
350,005960,100.0,1,45
351,005990,54.98,1,75
352,005990,45.02,2,42
353,006040,76.45,1,75
354,006040,23.55,2,41
355,006050,100.0,1,50
356,006060,100.0,1,91
357,006090,82.4,1,75
358,006090,17.6,2,74
359,006110,84.27,1,35
360,006110,15.73,2,121
361,006120,100.0,1,22
362,006140,100.0,1,130
363,006200,100.0,1,109
364,006220,100.0,1,1
365,006260,43.51,1,36
366,006260,24.29,2,121
367,006260,16.35,3,19
368,006260,15.85,4,8
369,006280,100.0,1,126
370,006340,55.21,1,65
371,006340,44.79,2,19
372,006360,100.0,1,45
373,006370,100.0,1,105
374,006380,100.0,1,25
375,006390,100.0,1,50
376,006400,100.0,1,122
377,006490,100.0,1,124
378,006570,64.97,1,50
379,006570,35.03,2,88
380,006620,100.0,1,126
381,006650,100.0,1,25
382,006660,100.0,1,84
383,006730,79.3,1,99
384,006730,20.7,2,106
385,006740,100.0,1,38
386,006800,100.0,1,2
387,006840,44.02,1,54
388,006840,33.72,2,25
389,006840,22.26,3,105
390,006880,100.0,1,75
391,006890,100.0,1,29
392,006910,84.77,1,19
393,006910,15.23,2,64
394,006920,100.0,1,50
395,006980,100.0,1,74
396,007070,100.0,1,105
397,007110,53.83,1,50
398,007110,46.17,2,47
399,007120,100.0,1,6
400,007160,52.77,1,75
401,007160,47.23,2,74
402,007210,80.39,1,50
403,007210,19.61,2,88
404,007280,100.0,1,33
405,007310,100.0,1,75
406,007330,100.0,1,1
407,007340,56.72,1,60
408,007340,43.28,2,84
409,007370,100.0,1,126
410,007390,40.24,1,92
411,007390,31.01,2,77
412,007390,28.76,3,127
413,007460,30.95,1,33
414,007460,28.68,2,127
415,007460,23.0,3,30
416,007460,17.36,4,126
417,007530,100.0,1,84
418,007540,100.0,1,75
419,007570,100.0,1,126
420,007590,100.0,1,28
421,007610,100.0,1,64
422,007660,100.0,1,121
423,007680,100.0,1,45
424,007690,100.0,1,30
425,007700,100.0,1,90
426,007720,100.0,1,107
427,007770,100.0,1,30
428,007810,100.0,1,121
429,007820,100.0,1,62
430,007860,100.0,1,84
431,007980,100.0,1,90
432,008040,65.52,1,75
433,008040,34.48,2,74
434,008060,100.0,1,121
435,008110,100.0,1,121
436,008250,100.0,1,37
437,008260,72.47,1,50
438,008260,27.53,2,46
439,008290,100.0,1,90
440,008350,53.0,1,84
441,008350,47.0,2,35
442,008370,100.0,1,26
443,008420,100.0,1,33
444,008470,100.0,1,62
445,008490,82.16,1,129
446,008490,17.84,2,30
447,008500,100.0,1,84
448,008600,70.54,1,90
449,008600,29.46,2,102
450,008700,100.0,1,120
451,008730,68.56,1,41
452,008730,31.44,2,121
453,008770,82.14,1,107
454,008770,17.86,2,99
455,008830,100.0,1,84
456,008870,100.0,1,41
457,008930,50.29,1,126
458,008930,49.71,2,80
459,008970,80.23,1,35
460,008970,19.77,2,34
461,009070,100.0,1,53
462,009140,100.0,1,121
463,009150,80.23,1,121
464,009150,19.77,2,110
465,009160,43.93,1,72
466,009160,31.78,2,62
467,009160,24.29,3,34
468,009180,100.0,1,53
469,009190,100.0,1,33
470,009200,100.0,1,38
471,009240,100.0,1,87
472,009270,100.0,1,90
473,009290,75.95,1,77
474,009290,24.05,2,126
475,009300,100.0,1,126
476,009310,100.0,1,112
477,009320,100.0,1,84
478,009410,74.38,1,45
479,009410,25.62,2,46
480,009420,100.0,1,126
481,009440,100.0,1,24
482,009450,100.0,1,22
483,009460,100.0,1,38
484,009470,100.0,1,121
485,009520,58.1,1,41
486,009520,41.9,2,33
487,009540,100.0,1,51
488,009580,100.0,1,38
489,009620,62.99,1,34
490,009620,37.01,2,84
491,009680,100.0,1,84
492,009730,73.57,1,35
493,009730,26.43,2,50
494,009770,100.0,1,38
495,009780,100.0,1,75
496,009810,73.97,1,115
497,009810,26.03,2,69
498,009830,42.74,1,25
499,009830,36.02,2,17
500,009830,21.23,3,21
501,009900,100.0,1,84
502,009970,81.26,1,90
503,009970,18.74,2,105
504,010040,50.29,1,47
505,010040,49.71,2,40
506,010060,65.8,1,30
507,010060,17.87,2,17
508,010060,16.33,3,21
509,010100,100.0,1,84
510,010120,76.72,1,64
511,010120,23.28,2,19
512,010130,100.0,1,34
513,010140,100.0,1,51
514,010170,55.63,1,123
515,010170,44.37,2,19
516,010240,100.0,1,59
517,010280,100.0,1,113
518,010400,100.0,1,62
519,010420,77.94,1,38
520,010420,22.06,2,113
521,010470,62.71,1,93
522,010470,37.29,2,94
523,010580,65.06,1,84
524,010580,34.94,2,122
525,010600,100.0,1,56
526,010620,100.0,1,51
527,010640,100.0,1,39
528,010660,100.0,1,60
529,010690,100.0,1,84
530,010770,100.0,1,7
531,010780,61.16,1,24
532,010780,20.22,2,50
533,010780,18.62,3,45
534,010820,100.0,1,44
535,010950,100.0,1,13
536,010960,100.0,1,46
537,011000,76.92,1,127
538,011000,23.08,2,130
539,011040,100.0,1,126
540,011070,100.0,1,121
541,011080,100.0,1,90
542,011090,100.0,1,87
543,011150,100.0,1,75
544,011170,65.96,1,25
545,011170,34.04,2,30
546,011200,100.0,1,56
547,011210,100.0,1,84
548,011230,100.0,1,121
549,011280,100.0,1,41
550,011300,100.0,1,26
551,011320,100.0,1,84
552,011330,100.0,1,90
553,011370,100.0,1,45
554,011390,100.0,1,50
555,011420,100.0,1,101
556,011500,100.0,1,30
557,011560,100.0,1,48
558,011690,100.0,1,121
559,011700,100.0,1,61
560,011760,39.16,1,25
561,011760,36.09,2,33
562,011760,24.75,3,82
563,011780,76.4,1,26
564,011780,23.6,2,25
565,011790,69.39,1,25
566,011790,30.61,2,122
567,011810,100.0,1,35
568,011930,100.0,1,47
569,012030,75.39,1,109
570,012030,24.61,2,113
571,012160,100.0,1,33
572,012170,100.0,1,96
573,012200,70.98,1,84
574,012200,29.02,2,61
575,012280,100.0,1,84
576,012320,48.18,1,32
577,012320,33.9,2,48
578,012320,17.92,3,46
579,012330,100.0,1,84
580,012340,100.0,1,121
581,012450,81.37,1,44
582,012450,18.63,2,43
583,012510,100.0,1,113
584,012600,75.61,1,6
585,012600,24.39,2,123
586,012610,100.0,1,30
587,012620,100.0,1,33
588,012630,100.0,1,45
589,012690,100.0,1,38
590,012700,100.0,1,13
591,012750,54.46,1,68
592,012750,45.54,2,67
593,012790,100.0,1,126
594,012800,100.0,1,34
595,012860,100.0,1,84
596,013000,100.0,1,26
597,013030,100.0,1,62
598,013120,100.0,1,45
599,013310,100.0,1,84
600,013360,65.72,1,45
601,013360,34.28,2,46
602,013520,72.42,1,84
603,013520,27.58,2,72
604,013570,68.3,1,84
605,013570,31.7,2,62
606,013580,52.96,1,45
607,013580,26.41,2,8
608,013580,20.63,3,46
609,013700,100.0,1,45
610,013720,100.0,1,84
611,013810,64.13,1,59
612,013810,35.87,2,62
613,013870,100.0,1,84
614,013890,100.0,1,87
615,013990,100.0,1,90
616,014100,59.1,1,90
617,014100,40.9,2,92
618,014130,100.0,1,53
619,014160,100.0,1,41
620,014190,46.16,1,26
621,014190,35.81,2,25
622,014190,18.03,3,50
623,014200,100.0,1,62
624,014280,63.63,1,74
625,014280,36.37,2,47
626,014440,63.76,1,39
627,014440,36.24,2,26
628,014470,50.45,1,86
629,014470,27.32,2,105
630,014470,22.23,3,113
631,014530,73.33,1,13
632,014530,26.67,2,30
633,014570,100.0,1,126
634,014580,73.37,1,30
635,014580,26.63,2,29
636,014620,100.0,1,62
637,014680,52.04,1,30
638,014680,32.93,2,122
639,014680,15.03,3,38
640,014710,84.16,1,75
641,014710,15.84,2,74
642,014790,76.94,1,45
643,014790,23.06,2,46
644,014820,100.0,1,41
645,014830,100.0,1,25
646,014910,52.39,1,121
647,014910,47.61,2,62
648,014940,100.0,1,52
649,014970,100.0,1,41
650,014990,100.0,1,90
651,015020,58.63,1,8
652,015020,21.52,2,102
653,015020,19.85,3,99
654,015230,100.0,1,84
655,015260,83.19,1,121
656,015260,16.81,2,84
657,015360,100.0,1,22
658,015590,100.0,1,62
659,015710,75.83,1,120
660,015710,24.17,2,123
661,015750,100.0,1,84
662,015760,100.0,1,19
663,015860,82.5,1,65
664,015860,17.5,2,64
665,015890,62.35,1,30
666,015890,37.65,2,34
667,016090,100.0,1,90
668,016100,78.14,1,41
669,016100,21.86,2,92
670,016250,100.0,1,48
671,016360,100.0,1,2
672,016380,100.0,1,33
673,016450,63.43,1,90
674,016450,36.57,2,7
675,016580,100.0,1,126
676,016590,59.79,1,41
677,016590,40.21,2,38
678,016600,100.0,1,4
679,016610,100.0,1,2
680,016670,100.0,1,113
681,016710,100.0,1,22
682,016740,100.0,1,84
683,016790,100.0,1,74
684,016800,100.0,1,87
685,016880,77.08,1,94
686,016880,22.92,2,107
687,016920,100.0,1,120
688,017000,100.0,1,45
689,017040,100.0,1,64
690,017180,100.0,1,126
691,017250,100.0,1,120
692,017370,61.54,1,62
693,017370,38.46,2,84
694,017390,100.0,1,22
695,017480,100.0,1,35
696,017510,100.0,1,65
697,017550,78.6,1,62
698,017550,21.4,2,59
699,017650,100.0,1,38
700,017670,100.0,1,124
701,017800,100.0,1,62
702,017810,77.22,1,75
703,017810,22.78,2,81
704,017860,67.34,1,17
705,017860,32.66,2,122
706,017890,100.0,1,25
707,017900,100.0,1,121
708,017940,100.0,1,22
709,017960,100.0,1,30
710,018000,100.0,1,21
711,018120,100.0,1,77
712,018250,61.49,1,79
713,018250,38.51,2,92
714,018260,53.71,1,53
715,018260,46.29,2,113
716,018290,100.0,1,92
717,018310,100.0,1,50
718,018470,100.0,1,34
719,018500,100.0,1,84
720,018620,100.0,1,128
721,018670,100.0,1,22
722,018680,100.0,1,126
723,018700,65.11,1,92
724,018700,34.89,2,96
725,018880,100.0,1,84
726,019010,45.2,1,99
727,019010,31.71,2,105
728,019010,23.09,3,101
729,019170,100.0,1,126
730,019180,100.0,1,84
731,019210,100.0,1,60
732,019440,100.0,1,35
733,019490,100.0,1,67
734,019540,100.0,1,84
735,019550,100.0,1,4
736,019570,100.0,1,4
737,019590,100.0,1,4
738,019660,100.0,1,92
739,019680,100.0,1,102
740,019770,80.0,1,84
741,019770,20.0,2,62
742,019990,100.0,1,62
743,020000,100.0,1,90
744,020120,100.0,1,94
745,020150,75.71,1,122
746,020150,24.29,2,45
747,020180,100.0,1,113
748,020400,81.92,1,84
749,020400,18.08,2,58
750,020560,100.0,1,97
751,020710,100.0,1,71
752,020760,74.59,1,111
753,020760,25.41,2,112
754,021040,100.0,1,33
755,021050,100.0,1,34
756,021080,100.0,1,4
757,021240,100.0,1,103
758,021320,82.97,1,45
759,021320,17.03,2,46
760,021650,100.0,1,84
761,021820,100.0,1,84
762,021880,100.0,1,7
763,022100,100.0,1,113
764,022220,100.0,1,50
765,023000,54.98,1,35
766,023000,45.02,2,84
767,023150,100.0,1,75
768,023160,100.0,1,48
769,023350,67.49,1,49
770,023350,32.51,2,46
771,023410,100.0,1,50
772,023440,100.0,1,33
773,023450,100.0,1,30
774,023460,100.0,1,85
775,023530,100.0,1,105
776,023590,100.0,1,113
777,023600,66.32,1,41
778,023600,33.68,2,38
779,023760,100.0,1,4
780,023770,100.0,1,116
781,023790,100.0,1,33
782,023800,100.0,1,84
783,023810,100.0,1,84
784,023900,38.72,1,75
785,023900,30.79,2,29
786,023900,30.49,3,22
787,023910,100.0,1,126
788,023960,100.0,1,48
789,024060,100.0,1,13
790,024070,100.0,1,26
791,024090,100.0,1,35
792,024110,100.0,1,1
793,024120,100.0,1,84
794,024720,66.48,1,92
795,024720,33.52,2,126
796,024740,73.86,1,84
797,024740,26.14,2,44
798,024800,56.54,1,81
799,024800,43.46,2,53
800,024810,58.47,1,64
801,024810,41.53,2,120
802,024830,100.0,1,84
803,024840,100.0,1,34
804,024850,100.0,1,110
805,024880,52.21,1,84
806,024880,47.79,2,52
807,024890,100.0,1,26
808,024900,100.0,1,84
809,024910,100.0,1,84
810,024940,100.0,1,88
811,024950,50.14,1,98
812,024950,49.86,2,89
813,025000,100.0,1,25
814,025320,100.0,1,121
815,025440,100.0,1,84
816,025530,100.0,1,84
817,025540,100.0,1,84
818,025550,53.41,1,61
819,025550,46.59,2,35
820,025560,83.16,1,110
821,025560,16.84,2,120
822,025620,100.0,1,92
823,025750,100.0,1,37
824,025770,100.0,1,6
825,025820,100.0,1,34
826,025860,65.37,1,28
827,025860,34.63,2,13
828,025870,62.28,1,81
829,025870,37.72,2,75
830,025880,81.09,1,74
831,025880,18.91,2,75
832,025890,100.0,1,35
833,025900,74.73,1,25
834,025900,25.27,2,37
835,025950,67.57,1,46
836,025950,32.43,2,45
837,025980,100.0,1,99
838,026040,100.0,1,90
839,026150,100.0,1,46
840,026890,100.0,1,4
841,026910,78.46,1,33
842,026910,21.54,2,82
843,026940,100.0,1,33
844,026960,52.56,1,75
845,026960,26.65,2,41
846,026960,20.79,3,72
847,027040,100.0,1,121
848,027050,100.0,1,92
849,027360,100.0,1,4
850,027410,100.0,1,30
851,027580,100.0,1,62
852,027710,63.31,1,74
853,027710,36.69,2,75
854,027740,100.0,1,74
855,027830,100.0,1,4
856,027970,100.0,1,38
857,028050,100.0,1,48
858,028080,63.79,1,113
859,028080,36.21,2,84
860,028100,100.0,1,46
861,028260,58.94,1,45
862,028260,41.06,2,72
863,028300,70.34,1,30
864,028300,29.66,2,127
865,028670,100.0,1,56
866,029460,50.34,1,46
867,029460,49.66,2,120
868,029480,48.2,1,123
869,029480,29.6,2,113
870,029480,22.2,3,68
871,029530,53.09,1,117
872,029530,46.91,2,120
873,029780,100.0,1,7
874,029960,100.0,1,24
875,030000,100.0,1,93
876,030190,80.77,1,6
877,030190,19.23,2,71
878,030200,100.0,1,124
879,030210,100.0,1,2
880,030350,79.69,1,116
881,030350,20.31,2,84
882,030520,62.28,1,115
883,030520,37.72,2,44
884,030530,60.4,1,109
885,030530,39.6,2,30
886,030610,100.0,1,2
887,030720,100.0,1,74
888,030960,100.0,1,66
889,031210,100.0,1,3
890,031310,100.0,1,124
891,031330,100.0,1,121
892,031430,100.0,1,90
893,031440,72.43,1,75
894,031440,27.57,2,76
895,031510,100.0,1,84
896,031820,100.0,1,113
897,031860,100.0,1,117
898,031980,100.0,1,110
899,032080,100.0,1,90
900,032190,75.59,1,113
901,032190,24.41,2,114
902,032280,72.24,1,53
